PNsymbol,S11.3,OIhipster,OmniOS
uname,11.3,illumos-,omnios-
SFEasciidoc,SFEasciidoc,SFEasciidoc,SFEasciidoc
SFEautomake_115,SFEautomake-115,__NOMATCH__,__NOMATCH__
SFEgnugetopt,pkg://solaris/shell/gnu-getopt,SFEgnugetopt,SFEgnugetopt
SFElibggz,SFElibggz-devel,SUNWgnome-games-devel,SUNWgnome-games-devel
SFElibggz_devel,SFElibggz-devel,SUNWgnome-games-devel,SUNWgnome-games-devel
SFElibgpg_error,SUNWlibgpg-error-devel,library/security/libgpg-error,SUNWlibgpg-error-devel
SFElibgpg_error_devel,SUNWlibgpg-error-devel,library/security/libgpg-error,SUNWlibgpg-error-devel
SFElibschroedinger,SFElibschroedinger,library/video/libschroedinger,SFElibschroedinger
SFElibsndfile,SFElibsndfile,SFElibsndfile,SFElibsndfile
SFElibsndfile_devel,SFElibsndfile,SFElibsndfile,SFElibsndfile
SFElibyaml,SFElibyaml,__NOMATCH__,__NOMATCH__
SFEopenjpeg,SFEopenjpeg,image/library/openjpeg,SFEopenjpeg
SFEorc,__NOMATCH__,__NOMATCH__,__NOMATCH__
SFEorc_devel,SFEorc,system/library/orc,SFEorc
SFEperl_extutils_cbuilder,runtime/perl-512,runtime/perl-522,runtime/perl-64
SFEpulseaudio,SUNWpulseaudio-devel,SFEpulseaudio-devel,SFEpulseaudio-devel
SFEpulseaudio_devel,__NOMATCH__,__NOMATCH__,__NOMATCH__
SFExz_gnu,SFExz-gnu,compress/xz,compress/xz
SFEzlib_pkgconfig,SFEzlib-pkgconfig,__NOMATCH__,__NOMATCH__
SUNWGlib,library/glib1,library/glib1,library/glib1
SUNWGtk,library/desktop/gtk1,library/desktop/gtk1,library/desktop/gtk1
SUNWPython26,runtime/python-26,runtime/python-26,runtime/python-26
SUNWPython26_devel,runtime/python-26,runtime/python-26,runtime/python-26
SUNWTcl,runtime/tcl-8,runtime/tcl-8,runtime/tcl-8
SUNWTiff,image/library/libtiff,image/library/libtiff,image/library/libtiff
SUNWTiff_devel,image/library/libtiff,image/library/libtiff,image/library/libtiff
SUNWTk,runtime/tk-8,runtime/tk-8,runtime/tk-8
SUNWTk_devel,runtime/tk-8,runtime/tk-8,runtime/tk-8
SUNWaalib,library/aalib,library/aalib,library/aalib
SUNWaalib_devel,library/aalib,library/aalib,library/aalib
SUNWant,developer/build/ant,developer/build/ant,developer/build/ant
SUNWapch22,web/server/apache-22,web/server/apache-22,web/server/apache-22
SUNWapch22_devel,web/server/apache-22,web/server/apache-22,web/server/apache-22
SUNWapch22m_php52,web/server/apache-22/module/apache-php5,web/server/apache-22/module/apache-php5,web/server/apache-22/module/apache-php5
SUNWaudh,system/header,system/header/header-audio,system/header/header-audio
SUNWavahi_bridge_dsd,system/network/avahi,system/network/avahi,system/network/avahi
SUNWavahi_bridge_dsd_devel,system/network/avahi,system/network/avahi,system/network/avahi
SUNWbash,shell/bash,shell/bash,shell/bash
SUNWbindc,network/dns/bind,network/dns/bind,network/dns/bind
SUNWbindc_devel,network/dns/bind,network/dns/bind,network/dns/bind
SUNWbinutils,developer/gnu-binutils,developer/gnu-binutils,developer/gnu-binutils
